recipe_name,weight,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm,clusterID,energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag
chaat masala,100,0.0,0.0,0.0,0.0,0.0,0.0,38758.0,0.0,0.0,0.0,0.0,1,LOW,LOW,LOW,LOW,LOW,,,,,,
"nenthira chips,nendran chips,kerala banana chips,nendrangai varuval",100,631.4285714,0.0,71.42857143,0.0,0.0,0.0,11073.71429,1.257142857,3.307142857,0.0,0.0,4,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,,
french fries,100,359.3333333,1.066666667,33.4,15.06666667,1.133333333,0.0,7.333333333,0.586666667,1.543333333,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"bengali style chicken curry,bengali chicken curry,kosha murgir mangsho,murgir jhol",100,220.6005874,1.674743025,18.38516887,12.76490455,0.859030837,0.7327459620000001,2766.839941,0.0,2.1409691630000003,1.321585903,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"turai chutney,turai ki chutney,turai ke chilke ki chutney",100,251.0588235,4.376470588,18.69411765,17.08235294,4.170588235,0.0,2295.152941,0.310588235,0.8170588240000001,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
potato chips,100,256.4247788,1.132743363,21.30973451,16.0,1.203539823,0.0,3094.707965,0.37380531,0.9833628320000001,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
masala bharwa karela,100,291.76178660000005,0.7619354840000001,29.86662531,6.316650124,1.464019851,0.469478908,963.8188586000001,0.641836228,4.0292282880000005,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"pineapple payasam,pineapple kheer",100,327.0873786,2.926213592,25.39145631,22.67941748,0.627184466,3.4044660189999996,10.563106800000002,0.0008155339999999999,2.8554174760000004,0.585320388,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"crispy potato topped with peanut cow milk curd
 chutney,crispy potato vrat food,crispy potato 
upvas food",100,347.1983831,4.422549751,31.38697139,14.22090174,1.906716418,0.9005597009999999,498.199005,0.437810945,2.155851368,0.671641791,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"methia keri,gujarati mango pickle",100,393.70212769999995,4.887234043,36.86489362,13.25212766,5.404255319,0.0,850.9787233999999,0.0,3.85106383,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
corn salad,100,396.29301949999996,0.7759090909999999,41.73262987,6.242359307,1.420481602,2.13474026,359.85714289999993,0.0,5.835347402999999,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
mushroom korma,100,187.6685341,3.0680298789999996,16.01204482,9.735406162,5.213165266,1.419309057,727.9038282,0.275854342,4.634326797,0.448179272,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"aloo gosht,aloo gosht shorba,pakistani lamb and potato curry",100,437.8998558999999,1.022530916,46.2713527,7.021864047,2.5742508159999997,0.004190122,591.2047643999999,0.802233366,2.16567567,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"amritsari fish fry,amritsari fish pakoda,amritsari fish pakora",100,480.44,2.7868,49.0204,8.6744,1.368,1.9068,3108.56,0.9276,2.2319999999999998,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
ganthiya sabzi,100,515.062654,4.857915739,50.83314627,11.30019905,1.8744633990000001,1.813611981,558.2142594,0.9726027070000001,2.857327698,1.789264414,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"spinach cheese rolls with honey chilli sauce,palak paneer rolls",100,515.7465753,0.965753425,51.85342466,10.62863014,0.630136986,6.308219178,454.25205480000005,0.867945205,3.653150685,0.48630137,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"methi muthias,gujarati methi muthias",100,544.6344086,4.200430108,52.66150538,15.951182800000002,3.0623655910000003,4.187956989,649.3311828,0.967741935,2.389677419,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"afghan kadhai,afgan kadhai chicken",100,551.7159533,1.660350195,58.77405966,8.692431907000001,2.855642023,1.397153048,1889.409857,1.030315175,2.9222808039999997,0.5252918289999999,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
turkish hummus,100,568.7822823,13.31670671,55.05455455,15.17886887,4.833983984,2.312312312,991.4557057,0.01951952,5.489750751,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
"thattai,chekkalu,nippattu",100,647.7125748999999,8.458203593,59.98922156,20.72263473,4.889820359,1.580838323,1181.156886,0.857964072,2.496071856,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
ganthiya,100,741.8083832000001,6.167305389,73.69904192,15.92646707,2.974850299,2.9886227539999997,249.7125749,1.454730539,3.326946108,0.0,0.0,29,HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH
