recipe_name,ingredient_not_found,Error,item_link,weight,quantity,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm
mocha shake,SUCCESS,SUCCESS,https://www.bbcgoodfood.com/recipes/408616/mocha-milkshake,719.0,,472.43,22.33,21.255,48.01,0.008,0.9112,7341.55,1.4000000000000001,13.32955,84.6,0.0
peach shake,SUCCESS,SUCCESS,http://foodviva.com/milkshake-recipes/peach-milkshake-recipe/,524.1666666666667,,636.8583333333333,20.15,18.2,97.14850000000001,1.666666666666667,75.825,1573.4083333333333,0.30000000000000004,2.8499999999999996,63.0,0.0
pineapple and orange shake,SUCCESS,SUCCESS,https://www.missinthekitchen.com/pineapple-orange-cream-milkshakes/,1175.0,,1516.5490506329113,48.955,45.053000000000004,224.78038924050634,2.4250000000000003,189.0913924050633,3144.7,0.6000000000000001,5.70085,156.0036,0.0
silken chocolate shake,SUCCESS,SUCCESS,http://www.foodnetwork.com/recipes/tyler-florence/silken-smoothie-recipe-1910380,715.0,,430.0035335689045,14.268425206124851,7.834426383981155,76.7423563015312,4.3,41.573856301531215,3.25,0.0,0.0005,2.1144000000000003,0.0
zacarito shake,SUCCESS,SUCCESS,https://eatsmarter.com/recipes/grapefruit-yogurt-smoothie,510.0,,535.8857142857142,14.537500000000001,8.334,102.27357142857142,10.145,6.664071428571428,584.6142857142858,0.013,4.1255,116.0,1.3285714285714285
cheeky coffee shake,SUCCESS,SUCCESS,https://www.bbcgoodfood.com/recipes/408616/mocha-milkshake,719.0,,472.43,22.33,21.255,48.01,0.008,0.9112,7341.55,1.4000000000000001,13.32955,84.6,0.0
chocolate chiller shake,SUCCESS,SUCCESS,http://foodviva.com/milkshake-recipes/chocolate-milkshake-recipe/,380.0,,372.48571428571427,13.385714285714286,12.835714285714285,50.14285714285714,0.30000000000000004,36.184285714285714,2117.4285714285716,0.4,3.8428571428571425,46.5,2.0142857142857142
cookies n cream shake,Oreo,Ingredent does not exist in the db
honey crackle shake,SUCCESS,SUCCESS,https://www.yummly.com/#recipe/Honey-Nut-Cheerios-Milkshake-Recipe-and-Cheerios-Live-Honey-Event-1433176,815.0,,1521.2774193548385,38.748225806451615,33.677419354838705,264.49548387096775,1033.088064516129,161.50251612903227,2109.5032258064516,0.4,3.8,85.05,0.0
mango berry magic shake,SUCCESS,SUCCESS,http://www.bhg.com/recipe/drinks/strawberry-mango-milk-shake/,950.0,,585.5,15.329999999999998,12.5,107.07,12.0,49.56,2300.0,0.152,9.453999999999999,464.0,0.0
strawberry mania shake,SUCCESS,SUCCESS,http://www.recipe4living.com/recipes/strawberry_milkshake.htm,495.56666666666666,,442.9813333333334,13.451713333333334,11.679200000000002,71.10377000000001,4.928000000000001,56.63096,1595.4356666666672,0.1627653333333334,2.684180666666667,280.24800000000005,0.0
barista cold coffee,SUCCESS,SUCCESS,http://www.vegrecipesofindia.com/cold-coffee-recipe-coffee-milkshake/,637.5,,580.15,16.33,15.075,96.798,0.0,59.879999999999995,5248.65,1.0,9.52955,60.0,0.0
apple milkshake,SUCCESS,SUCCESS,http://www.vegrecipesofindia.com/apple-milkshake-recipe/,606.25,,1980.4375000000002,14.065875,164.2875,115.694375,4.50375,61.561125000000004,2.1750000000000003,0.0,0.0491125,0.0,0.0
chiku milkshake,SUCCESS,SUCCESS,http://www.vegrecipesofindia.com/chickoo-milkshake-sapota-milkshake/,945.0,,849.0,17.3,19.4,156.1,43.6,33.75,5281.6,1.0,9.5,60.0,0.0
pista milkshake,SUCCESS,SUCCESS,http://www.sanjeevkapoor.com/Recipe/Pista-Doodh-KhaanaKhazana-amp.html,1310.0,,2021.1,49.876,84.17,274.007,2.8000000000000003,199.6,10483.8,2.0,19.068,120.0,0.0
apple milkshake without sugar,SUCCESS,SUCCESS,http://www.vegrecipesofindia.com/apple-milkshake-recipe/,561.25,,1806.2875000000001,14.065875,164.2875,70.703375,4.50375,16.651125000000004,1.725,0.0,0.0491125,0.0,0.0
