recipe_name	ingredient_not_found	Error	item_link	weight	quantity	energy_gm	protein_gm	fat_gm	carbs_gm	total_dietary_fibre_gm	sugar_gm	sodium_mg	trans_fat_gm	total_saturated_fat_gm	cholesterol_mg	added_sugar_gm	0	0	0
chaat masala	SUCCESS	SUCCESS	https://www.tarladalal.com/Chaat-Masala-(-Chaat)-2788r	100	0	0	0	0	0	0	0	38758	0	0	0	0			
lime soda salted	SUCCESS	SUCCESS	0	100	0	1.023255814	0.01627907	0.011162791	0.320930233	0.013953488	0.117209302	920.9302326	0	0.001860465	0	0			
lime juice salted	SUCCESS	SUCCESS	0	100	0	1.035294118	0.016470588	0.011294118	0.324705882	0.014117647	0.118588235	459.7882353	0	0.001882353	0	0			
ginger lemon chai	SUCCESS	SUCCESS	http://food.ndtv.com/recipe-honey-lemon-ginger-tea-335562	100	0	3.025889968	0.014093851	0.005582524	0.808754045	0.013754045	0.693042071	3.987055016	0	0.001309061	0.056634304	0			
melon cooler	SUCCESS	SUCCESS	https://www.epicurious.com/recipes/food/views/melon-coolers-354505	100	0	5.785055351	0.007942804	0.00402214	1.509077491	0.007472325	1.444870849	15.72324723	0	0.000741697	0	0			
lukewarm cinnamon water	SUCCESS	SUCCESS	0	100	0	6.024390244	0.097317073	0.030243902	1.965609756	1.295121951	0.052926829	4.146341463	0	0.008414634	0	0			
tea with skimmed milk without sugar	SUCCESS	SUCCESS	0	100	0	7.073170732	0.609756098	0.024390244	1.12195122	0	0	2.926829268	0	0	0	0			
tea with skimmed milk with artificial sweetener	SUCCESS	SUCCESS	0	100	0	7.073170732	0.609756098	0.024390244	1.12195122	0	0	2.926829268	0	0	0	0			
green tea with lemon and honey	SUCCESS	SUCCESS	0	100	0	7.761904762	0.01547619	0.005714286	2.126190476	0.011904762	2.015238095	3.928571429	0	0.000952381	0.166666667	0			
kashmiri kawa	SUCCESS	SUCCESS	http://recipes.timesofindia.com/beverage/non-alcoholic/kashmiri-kahwa-tea/rs53927160.cms	100	0	9.362903226	0	0	2.418870968	0	2.414516129	3.89516129	0	0	0	0			
green tea with sugar	SUCCESS	SUCCESS	0	100	0	9.43902439	0	0	2.438536585	0	2.434146341	3.926829268	0	0	0	0			
lemon tea with sugar	SUCCESS	SUCCESS	0	100	0	9.43902439	0	0	2.438536585	0	2.434146341	3.926829268	0	0	0	0			
lime juice sweet	SUCCESS	SUCCESS	0	100	0	10.02325581	0.01627907	0.011162791	2.646046512	0.013953488	2.438139535	3.790697674	0	0.001860465	0	0			
lime soda sweet	SUCCESS	SUCCESS	0	100	0	10.02325581	0.01627907	0.011162791	2.646046512	0.013953488	2.438139535	19.60465116	0	0.001860465	0	0			
tom yum soup	SUCCESS	SUCCESS	https://www.tarladalal.com/Tom-Yum-Soup-Healthy-Veg-Tom-Yum-Soup-Recipe-3528r	100	0	11.86303107	0.714927077	0.110259987	2.372175016	0.639188332	1.264426126	282.3728599	0	0.039967026	0	0			
lukewarm lemon water	SUCCESS	SUCCESS	0	100	0	12.99841728	0.399896882	0.10002377	2.499702356	2.598798411	0	10.19680341	0	0	0	0			
tea with milk without sugar	SUCCESS	SUCCESS	0	100	0	14.3902439	0.707317073	0.731707317	1.243902439	0	0	258.5365854	0.048780488	0.463414634	2.926829268	0			
