energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag,clusterID
HIGH,LOW,,,LOW,,,HIGH,,HIGH,HIGH,0
LOW,LOW,LOW,LOW,LOW,,,,,,,1
HIGH,LOW,,,LOW,,,HIGH,,HIGH,HIGH,2
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,3
HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,,,4
,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH,5
,LOW,,,LOW,,,HIGH,,HIGH,HIGH,6
HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH,7
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,8
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,9
,LOW,LOW,LOW,LOW,,,HIGH,,HIGH,HIGH,10
,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH,11
HIGH,LOW,HIGH,,LOW,,,HIGH,,HIGH,HIGH,12
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,13
LOW,LOW,LOW,LOW,LOW,,,HIGH,,HIGH,HIGH,14
,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH,15
,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH,16
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,17
HIGH,LOW,,HIGH,LOW,,,HIGH,,HIGH,HIGH,18
HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH,19
,LOW,LOW,,,,,HIGH,,HIGH,HIGH,20
HIGH,LOW,,,LOW,,,HIGH,,HIGH,HIGH,21
,LOW,,LOW,LOW,,,HIGH,,HIGH,HIGH,22
,LOW,LOW,LOW,LOW,,,HIGH,,HIGH,HIGH,23
HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH,24
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,25
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,26
LOW,LOW,LOW,LOW,LOW,,,HIGH,,HIGH,HIGH,27
,LOW,LOW,LOW,LOW,,,HIGH,,HIGH,HIGH,28
HIGH,LOW,HIGH,LOW,LOW,,,HIGH,,HIGH,HIGH,29
,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH,30
HIGH,LOW,,,LOW,,,HIGH,,HIGH,HIGH,31
